State,Account.Length,Area.Code,Phone,Int.l.Plan,VMail.Plan,VMail.Message,Day.Mins,Day.Calls,Day.Charge,Night.Calls,Intl.Mins,Intl.Calls,Intl.Charge,CustServ.Calls,Churn
AZ,72,510,407-9830,no,no,0,272.4,88,46.31,81,12.7,2,3.43,0,no
MN,81,415,369-2625,no,no,0,198.4,93,33.73,71,10.4,6,2.81,2,no
DE,106,415,419-3167,no,no,0,128.6,83,21.86,113,11.4,2,3.08,0,no
SD,114,415,386-3823,no,yes,25,129,77,21.93,110,11.6,5,3.13,1,no
MD,106,415,343-2350,no,no,0,165.3,118,28.1,93,8.5,3,2.3,2,no
VA,103,510,393-4621,no,no,0,167.8,121,28.53,73,13,3,3.51,5,no
WV,137,510,376-4284,no,yes,50,186.5,94,31.71,100,12.1,4,3.27,2,no
OR,89,415,357-8515,no,yes,12,188,105,31.96,132,10.5,3,2.84,2,no
ME,79,415,415-6578,no,no,0,213.6,110,36.31,157,8.8,3,2.38,2,no
TN,130,415,386-7456,no,yes,12,141.9,92,24.12,101,8.7,5,2.35,0,no
NH,67,415,355-1113,no,yes,40,104.9,65,17.83,128,9.6,9,2.59,1,no
OR,67,415,366-9538,yes,no,0,120.9,58,20.55,130,11.4,11,3.08,2,no
TX,133,408,401-4007,no,no,0,221.1,133,37.59,84,8.4,3,2.27,4,no
AZ,82,415,413-6380,no,yes,33,137.8,95,23.43,70,11,6,2.97,2,no
NY,108,415,344-7197,no,no,0,154.2,123,26.21,75,15.4,4,4.16,4,yes
RI,180,415,366-7616,no,no,0,143.3,134,24.36,87,10.1,4,2.73,1,no
NY,70,415,366-2536,no,no,0,177.4,125,30.16,72,10.9,4,2.94,0,no
MD,166,415,381-1328,no,no,0,136.1,116,23.14,108,11.3,4,3.05,0,no
ME,62,415,358-1346,yes,yes,32,218.4,93,37.13,137,13.2,3,3.56,0,yes
NC,110,408,396-5561,no,no,0,159.5,145,27.12,96,16.7,2,4.51,2,no
NV,124,408,396-3068,no,no,0,151.1,123,25.69,93,5.3,3,1.43,1,no
MO,98,415,354-3237,no,no,0,221.2,80,37.6,89,11.9,3,3.21,4,no
IN,119,510,382-4952,no,no,0,154.5,129,26.27,145,13.4,3,3.62,2,no
WA,136,408,403-5575,no,no,0,152.6,97,25.94,99,5,10,1.35,1,no
IN,87,510,414-2606,no,no,0,189.5,113,32.22,93,13.4,3,3.62,1,no
AL,87,408,351-6585,no,no,0,237.2,124,40.32,81,11,3,2.97,1,no
NM,118,510,395-4509,no,no,0,205.2,115,34.88,115,7,6,1.89,0,no
WA,103,415,354-6960,no,no,0,204.9,107,34.83,106,10.4,3,2.81,5,no
AK,120,415,366-6991,no,no,0,178.4,97,30.33,93,9.3,9,2.51,1,no
MN,113,408,417-5146,no,no,0,158.9,137,27.01,97,6.5,4,1.76,0,no
VT,60,415,400-2738,no,no,0,193.9,118,32.96,134,13.2,8,3.56,3,no
NH,110,408,358-1778,no,no,0,162,81,27.54,99,8.9,8,2.4,0,no
TX,41,408,370-7550,no,yes,22,213.8,102,36.35,123,7.2,3,1.94,0,no
MD,121,510,369-5526,no,no,0,190.7,103,32.42,103,9.8,4,2.65,3,no
WY,109,415,328-8808,no,no,0,137,128,23.29,86,10,5,2.7,2,no
TN,108,408,352-1127,no,yes,15,165.1,85,28.07,114,10.9,4,2.94,1,no
TX,139,510,388-2240,yes,yes,31,203.5,82,34.6,112,13.4,6,3.62,1,yes
NH,97,408,410-7553,no,yes,28,283.1,93,48.13,78,6.1,8,1.65,1,no
TN,103,415,384-7724,no,no,0,141.3,123,24.02,96,6.4,2,1.73,1,no
AZ,109,415,404-3106,yes,no,0,268.4,85,45.63,84,9.7,8,2.62,2,yes
AL,106,415,356-1567,no,no,0,223,121,37.91,107,7.1,12,1.92,0,no
IN,78,415,376-7145,no,no,0,208.9,119,35.51,120,12.8,7,3.46,0,no
MS,43,510,358-3691,no,no,0,159.5,99,27.12,126,6.8,3,1.84,2,no
NV,27,510,398-7414,no,no,0,177.6,121,30.19,106,7.6,3,2.05,3,no
IA,105,510,349-4070,no,yes,15,88.1,125,14.98,85,9.7,1,2.62,2,no
WV,36,408,370-5001,no,no,0,175.1,144,29.77,146,9.9,3,2.67,1,no
NJ,66,415,410-5713,no,yes,16,174.7,92,29.7,98,8.9,2,2.4,1,no
AZ,104,408,420-3346,no,no,0,167.6,116,28.49,94,11.7,2,3.16,4,no
FL,106,415,407-7507,no,yes,31,197.4,125,33.56,101,12.3,4,3.32,3,no
AZ,113,510,403-9719,no,no,0,128.7,100,21.88,135,9.2,4,2.48,2,yes
MI,82,415,415-8200,no,no,0,135.4,102,23.02,91,17.5,4,4.73,0,no
WV,123,415,352-3440,no,no,0,175.7,78,29.87,92,9.1,2,2.46,2,no
CO,118,408,328-1222,no,no,0,188.8,60,32.1,100,8.2,7,2.21,4,no
KS,164,510,394-3051,no,yes,30,238.8,100,40.6,66,13.2,8,3.56,1,no
OR,95,415,364-8774,no,no,0,167.6,96,28.49,113,13.4,6,3.62,2,no
DE,90,415,354-9068,no,no,0,198.5,124,33.75,80,8,7,2.16,2,no
NJ,129,415,348-9828,no,no,0,168.4,117,28.63,100,11.8,7,3.19,1,no
RI,70,415,369-4962,no,no,0,134.7,96,22.9,113,7.6,6,2.05,3,no
CO,118,415,362-8763,no,yes,36,294.9,106,50.13,63,9.8,5,2.65,3,no
RI,28,510,328-8230,no,no,0,180.8,109,30.74,91,14.1,6,3.81,2,no
RI,65,415,368-5612,no,yes,29,215.5,129,36.64,91,8.8,5,2.38,2,no
SD,209,415,413-5310,no,no,0,227.2,128,38.62,74,8.9,4,2.4,3,no
AK,110,415,394-4548,no,no,0,148.4,95,25.23,106,6.9,6,1.86,0,no
AL,141,510,388-8583,no,yes,28,308,123,52.36,103,7.4,3,2,1,no
HI,87,408,360-2690,no,yes,28,151.4,95,25.74,109,0,0,0,1,no
MA,86,510,330-7483,no,no,0,176.3,79,29.97,78,6.2,3,1.67,0,no
MI,62,415,409-8743,no,no,0,98.9,103,16.81,82,12.2,1,3.29,1,no
NC,182,415,379-6970,no,no,0,279.5,118,47.52,101,10.7,4,2.89,2,yes
MN,91,415,382-9297,no,no,0,133.8,61,22.75,92,10.5,2,2.84,1,no
LA,94,415,371-3236,no,no,0,212.1,98,36.06,95,8.4,5,2.27,3,no
MO,110,415,338-7305,no,no,0,178.5,124,30.35,102,9.9,7,2.67,1,no
IL,138,510,331-6629,yes,no,0,169.3,82,28.78,77,9.4,9,2.54,1,no
MN,115,510,390-5055,yes,no,0,122,110,20.74,124,10.8,2,2.92,2,yes
NJ,59,510,352-9836,no,no,0,195,58,33.15,110,14.8,9,4,0,no
AL,167,510,335-5882,no,no,0,207.6,88,35.29,98,14.1,5,3.81,0,no
SC,112,415,363-8033,no,no,0,266,97,45.22,100,14.2,2,3.83,2,yes
CA,93,415,356-5491,no,yes,36,178.7,134,30.38,82,8,4,2.16,2,no
MI,86,510,349-2808,no,yes,41,119,101,20.23,58,9.5,3,2.57,0,no
CO,81,408,372-9091,no,no,0,115.3,99,19.6,98,18,2,4.86,1,no
AR,57,510,393-3507,no,no,0,192.8,68,32.78,105,12.7,6,3.43,1,no
DE,81,510,374-4664,yes,no,0,250.6,85,42.6,131,7.8,5,2.11,1,no
DE,119,415,345-5338,no,no,0,176.8,90,30.06,77,7.5,15,2.03,1,no
CA,111,408,329-9067,no,no,0,249.8,109,42.47,78,11.6,4,3.13,0,yes
NC,172,408,331-5962,no,yes,47,274.9,102,46.73,123,8.8,2,2.38,1,no
IN,189,510,363-2407,no,no,0,219.9,80,37.38,69,11.7,7,3.16,1,no
VA,50,415,382-2182,yes,no,0,99.6,108,16.93,62,13.7,6,3.7,2,yes
ID,104,415,357-1700,yes,no,0,148.2,108,25.19,103,11,4,2.97,0,no
TN,127,408,336-1090,no,yes,22,166,114,28.22,68,10.2,6,2.75,1,no
AL,107,408,332-3804,no,no,0,86.8,95,14.76,87,13.2,3,3.56,1,no
OH,65,510,351-8955,no,no,0,153.9,117,26.16,147,8.5,3,2.3,2,no
FL,148,510,394-7710,yes,no,0,148.2,138,25.19,62,8.6,3,2.32,2,no
LA,162,510,373-6681,no,yes,33,184.5,139,31.37,106,12.3,6,3.32,0,no
MS,131,415,333-9002,no,no,0,131.6,95,22.37,129,15.5,3,4.19,1,yes
GA,103,415,381-9196,no,yes,28,121,105,20.57,76,7.7,4,2.08,2,no
NH,105,415,381-4076,no,yes,20,186.9,114,31.77,104,8.9,2,2.4,1,no
MT,106,510,392-6420,no,no,0,169.4,107,28.8,79,10.7,4,2.89,1,no
RI,107,415,385-8240,no,yes,37,60,102,10.2,106,11.1,3,3,0,no
VA,114,415,377-8067,yes,yes,31,174.5,104,29.67,91,12.3,10,3.32,2,no
CO,154,415,343-5709,no,no,0,350.8,75,59.64,100,10.1,9,2.73,1,yes
OH,32,415,401-6977,no,yes,31,232.8,97,39.58,111,13,2,3.51,0,no
CT,129,510,404-3238,no,yes,27,196.6,89,33.42,83,6.6,5,1.78,1,no
MN,123,408,422-5350,no,no,0,236.2,135,40.15,77,10.1,6,2.73,2,yes
MA,129,510,408-2712,yes,no,0,192.9,131,32.79,130,10.9,4,2.94,1,no
TX,70,510,390-5470,no,no,0,59.5,103,10.12,86,11.1,6,3,0,no
WY,33,415,331-3202,no,no,0,213.9,88,36.36,71,9.8,14,2.65,2,no
AR,86,408,329-8115,no,yes,16,145.7,88,24.77,82,11.3,7,3.05,0,no
MT,116,415,384-5907,no,yes,35,182.8,122,31.08,103,11,2,2.97,1,no
LA,179,408,415-2393,no,no,0,219.2,92,37.26,104,6.1,5,1.65,0,no
MT,66,510,407-2750,no,no,0,201.3,95,34.22,101,7.5,4,2.03,1,no
MT,125,510,366-5829,no,no,0,143.2,80,24.34,135,8.8,7,2.38,4,yes
WV,131,415,362-5044,no,no,0,196.1,89,33.34,132,5.2,6,1.4,2,no
MA,66,415,416-7393,no,no,0,116.4,98,19.79,94,10.5,3,2.84,3,no
DC,148,415,404-1002,no,yes,38,209.2,110,35.56,105,16.5,4,4.46,2,no
LA,99,415,411-2284,no,no,0,241.1,72,40.99,109,11.6,10,3.13,1,no
IA,118,415,332-4289,no,no,0,136.1,120,23.14,90,11.3,4,3.05,1,no
KS,110,415,369-8024,yes,yes,27,267.9,103,45.54,106,8.3,2,2.24,1,yes
CA,77,510,335-2261,no,no,0,175.5,86,29.84,100,17.8,3,4.81,4,no
MT,126,415,344-3466,no,yes,30,153.4,90,26.08,97,12.8,4,3.46,4,yes
IA,129,415,398-7978,no,no,0,216,85,36.72,109,4.9,10,1.32,2,no
SD,78,415,360-6024,no,yes,25,197.4,73,33.56,73,13.2,2,3.56,0,no
AZ,141,510,369-6012,no,yes,22,215.4,123,36.62,89,7.8,6,2.11,1,no
WV,85,408,336-5616,no,no,0,225,81,38.25,110,7.1,2,1.92,3,no
SC,88,408,348-6057,no,no,0,153.5,94,26.1,99,8.5,6,2.3,1,no
DE,142,408,364-1995,no,no,0,187,133,31.79,127,7.4,5,2,2,no
DC,180,415,370-4139,no,yes,33,231.8,78,39.41,121,7.6,4,2.05,1,no
AK,130,415,392-5587,no,no,0,242.5,101,41.23,89,9.3,2,2.51,2,no
OR,82,415,400-3147,no,yes,19,146.5,73,24.91,114,4.1,4,1.11,1,no
VT,101,510,413-7655,no,no,0,0,0,0,95,7.2,4,1.94,1,no
CT,56,415,406-3069,no,no,0,162.3,99,27.59,115,14.8,1,4,4,yes
WI,93,415,392-6286,no,no,0,152.1,141,25.86,111,12,7,3.24,1,no
UT,85,510,327-6194,no,no,0,212.3,107,36.09,116,7.7,3,2.08,0,no
OH,95,415,329-8056,no,yes,23,160.3,87,27.25,122,7.4,3,2,0,no
NE,127,510,348-5567,yes,no,0,180.9,114,30.75,105,7.4,4,2,2,no
MA,111,415,387-7371,no,no,0,284.4,89,48.35,91,8.4,8,2.27,0,yes
NE,85,415,416-5662,no,no,0,259.8,85,44.17,72,5.4,1,1.46,0,no
IN,46,415,368-9751,no,yes,34,191.4,102,32.54,132,7.2,2,1.94,1,no
NM,67,415,404-7518,no,no,0,215.5,102,36.64,106,8.6,6,2.32,1,no
AR,116,408,405-5681,no,no,0,173.5,93,29.5,112,16.2,10,4.37,3,no
ND,136,510,375-8596,yes,no,0,256.8,90,43.66,82,9.1,10,2.46,3,no
WI,62,415,368-9073,no,no,0,86.3,84,14.67,79,12.5,1,3.38,2,no
MI,102,510,381-2726,no,no,0,242.2,88,41.17,121,6.2,6,1.67,3,no
VT,159,415,335-2019,no,no,0,275.8,103,46.89,93,7.4,5,2,2,yes
MA,166,415,363-4005,no,no,0,203.4,81,34.58,124,9.2,5,2.48,2,no
WY,42,408,357-7060,no,no,0,146.3,84,24.87,117,8,12,2.16,1,no
NM,85,408,338-9210,no,yes,37,229.6,123,39.03,76,9.5,8,2.57,2,no
HI,105,415,401-7359,no,no,0,281.3,124,47.82,109,8.7,3,2.35,0,yes
AK,103,510,359-9454,no,no,0,190.9,62,32.45,96,7.8,3,2.11,2,no
MD,120,415,417-2608,no,yes,40,128.1,99,21.78,121,15.6,3,4.21,0,no
KY,110,510,388-9464,no,no,0,99.4,62,16.9,94,16.7,3,4.51,2,no
IA,126,408,403-6419,no,yes,27,186.2,78,31.65,139,9.6,3,2.59,2,no
OR,112,510,396-6462,no,no,0,206.2,122,35.05,101,12.6,7,3.4,3,no
MS,68,415,340-2239,no,no,0,94.1,93,16,85,10.1,2,2.73,0,no
AZ,158,510,362-2314,no,no,0,205.2,97,34.88,108,14.4,12,3.89,0,no
DC,141,415,333-9511,no,yes,37,185.4,87,31.52,107,8,3,2.16,4,no
TX,125,415,365-3562,no,no,0,203.4,110,34.58,113,11,4,2.97,1,no
AL,47,408,404-5387,no,yes,28,141.3,94,24.02,84,7.8,2,2.11,1,no
CT,124,415,386-8432,no,no,0,151,98,25.67,81,9.2,2,2.48,2,no
WV,152,510,332-6139,yes,yes,41,146.8,128,24.96,80,4.3,2,1.16,1,yes
IL,179,510,348-2150,no,no,0,116.1,101,19.74,103,11.6,5,3.13,0,no
SD,221,510,365-2192,no,yes,24,180.5,85,30.69,103,2.4,3,0.65,0,no
IL,91,415,373-4483,no,no,0,189.3,100,32.18,89,9.9,3,2.67,3,no
ND,50,415,342-1960,no,no,0,295.3,127,50.2,105,9.6,6,2.59,1,no
KY,126,510,375-1721,no,no,0,175.4,120,29.82,93,10.6,1,2.86,0,no
TN,17,510,382-5401,no,yes,31,153.1,115,26.03,102,10,1,2.7,6,yes
FL,144,510,384-5004,no,no,0,278.5,95,47.35,90,11.6,5,3.13,1,yes
ME,105,510,352-5750,no,no,0,212,113,36.04,114,8.9,7,2.4,3,no
AZ,107,415,375-4770,no,yes,32,134.2,101,22.81,138,8.2,5,2.21,1,no
CO,192,415,401-6392,no,no,0,185,88,31.45,105,11.4,3,3.08,2,no
ND,147,408,358-8729,no,no,0,205.3,95,34.9,84,7.8,4,2.11,1,no
CT,95,415,375-2098,no,yes,36,283.1,112,48.13,129,11.3,3,3.05,3,no
MD,107,415,347-3406,no,no,0,294.9,71,50.13,87,13.2,5,3.56,1,yes
DC,138,415,329-6562,no,no,0,170.5,87,28.99,111,11.2,7,3.02,2,no
MT,49,408,353-8970,no,no,0,236.6,91,40.22,114,8.9,2,2.4,1,no
SC,111,415,418-8969,no,yes,21,127.1,94,21.61,108,7.1,3,1.92,1,no
PA,141,510,414-6739,no,no,0,146.5,121,24.91,112,8.2,5,2.21,0,no
CT,84,510,351-1007,no,yes,42,165.3,97,28.1,72,7.6,7,2.05,3,no
WY,215,510,393-9619,no,no,0,83.6,148,14.21,110,10.7,9,2.89,0,no
AK,127,510,345-8237,no,yes,36,183.2,117,31.14,71,11.2,8,3.02,1,no
MN,38,510,399-5291,no,no,0,175.7,109,29.87,109,9.2,3,2.48,5,yes
OH,65,415,405-3097,no,no,0,245.7,139,41.77,117,4.2,5,1.13,4,yes
NY,126,415,352-7752,yes,no,0,239.7,87,40.75,113,11.4,1,3.08,1,yes
MD,172,408,346-5068,no,no,0,287.1,108,48.81,98,14.4,2,3.89,3,yes
OH,94,510,367-9495,no,no,0,194.1,62,33,115,15.3,4,4.13,1,no
WV,112,415,380-5286,no,no,0,261.4,108,44.44,90,11.6,2,3.13,1,no
UT,89,415,345-9690,no,no,0,89.7,80,15.25,120,9.5,4,2.57,2,no
MD,52,415,352-1798,no,no,0,209.8,114,35.67,119,9.9,9,2.67,4,no
AL,41,510,369-6880,no,yes,34,194.4,63,33.05,115,17.2,9,4.64,2,no
MD,51,510,378-6986,no,yes,28,276.7,121,47.04,88,8.3,3,2.24,0,no
CT,99,415,363-8824,no,no,0,146.7,64,24.94,98,8.9,1,2.4,3,no
FL,124,415,397-1649,no,yes,28,251.4,104,42.74,121,7.5,5,2.03,1,no
FL,41,415,415-6110,no,yes,41,207.3,95,35.24,74,5.9,3,1.59,1,no
OR,190,415,386-8984,no,no,0,142.9,96,24.29,117,6.6,4,1.78,0,no
AL,121,408,331-8909,no,yes,35,68.7,95,11.68,42,11.4,4,3.08,1,no
NJ,57,510,330-2635,yes,no,0,115,65,19.55,75,6.4,1,1.73,0,yes
NC,149,510,363-1719,no,no,0,207.3,115,35.24,83,8.6,4,2.32,1,no
WA,62,415,422-3454,no,no,0,100,98,17,122,10.1,4,2.73,0,no
NY,209,415,369-8703,no,no,0,153.7,105,26.13,95,10.7,2,2.89,0,no
SD,168,415,369-6204,no,yes,22,175.9,70,29.9,81,7.3,5,1.97,2,no
OH,106,415,352-2270,no,yes,30,220.1,105,37.42,96,13.1,8,3.54,0,no
WV,173,415,332-1109,no,no,0,191.4,114,32.54,99,10.3,3,2.78,1,no
MO,79,408,411-5958,no,no,0,261.7,97,44.49,83,6,3,1.62,3,yes
MO,58,415,353-7822,no,no,0,149.4,145,25.4,108,14.9,3,4.02,1,no
SC,145,408,377-6635,no,no,0,39.5,78,6.72,90,10,6,2.7,0,no
VT,126,415,403-3229,no,no,0,226.2,88,38.45,110,6.4,2,1.73,0,no
MT,58,510,387-9301,no,yes,29,240.4,80,40.87,108,11.2,3,3.02,1,no
AL,146,415,358-1129,no,yes,32,154,80,26.18,107,8.2,4,2.21,3,no
MN,135,408,340-8177,no,no,0,155.2,100,26.38,82,3.8,9,1.03,3,no
OH,29,408,402-6666,no,no,0,196.8,81,33.46,98,12.7,7,3.43,2,no
GA,74,510,340-8245,no,yes,31,249.4,70,42.4,75,9.9,2,2.67,4,no
MI,105,415,376-5213,no,no,0,226.9,106,38.57,107,11.6,2,3.13,0,yes
NY,171,415,412-6245,no,no,0,137.5,110,23.38,131,13.3,5,3.59,2,no
CA,124,408,343-6374,yes,no,0,244.6,89,41.58,114,11.3,4,3.05,1,no
KS,138,510,363-8715,no,yes,26,183.9,83,31.26,125,15,3,4.05,1,no
OR,155,408,414-4741,no,yes,30,128.5,86,21.85,85,6.8,6,1.84,1,no
NJ,128,415,358-9095,no,no,0,237.9,125,40.44,68,13.9,4,3.75,1,yes
OK,116,510,393-3976,no,no,0,205,90,34.85,96,7.5,4,2.03,2,no
AK,52,415,356-5244,no,yes,24,170.9,71,29.05,124,4.1,5,1.11,2,no
KY,155,510,413-2201,no,no,0,184.6,102,31.38,122,7.8,1,2.11,1,no
SC,99,510,401-3685,yes,yes,39,126.8,94,21.56,91,8.4,4,2.27,0,no
IL,83,415,368-8600,no,no,0,195,92,33.15,92,11,13,2.97,0,no
MI,116,408,379-2503,no,no,0,133.3,94,22.66,78,11.3,5,3.05,5,yes
KY,124,415,341-3349,no,no,0,194,103,32.98,153,11.9,5,3.21,0,no
NJ,108,415,339-4068,no,no,0,239.3,102,40.68,104,10.6,6,2.86,0,no
RI,114,510,411-9554,no,yes,28,225.8,94,38.39,100,8.4,9,2.27,4,no
WV,141,415,330-8173,yes,yes,37,258.6,84,43.96,97,11.2,5,3.02,0,no
MT,138,415,401-5586,no,no,0,133.9,87,22.76,139,15.4,3,4.16,1,no
CO,83,510,379-3012,no,no,0,132.4,120,22.51,84,8.6,2,2.32,1,no
NM,112,415,354-5764,no,no,0,81.6,94,13.87,75,8.6,18,2.32,1,no
OK,112,415,327-1058,no,no,0,166,79,28.22,74,6.3,7,1.7,0,no
OR,12,415,378-4179,no,no,0,204.6,98,34.78,95,9.8,7,2.65,2,no
LA,111,415,367-2227,no,yes,28,128.8,104,21.9,76,10.3,2,2.78,2,no
MA,102,510,355-6560,yes,no,0,233.8,103,39.75,106,12.8,3,3.46,0,no
NE,105,415,397-7500,no,yes,27,141.2,96,24,101,11.4,2,3.08,1,no
MD,29,510,367-1024,no,no,0,195.6,71,33.25,87,14.2,4,3.83,1,no
DE,133,510,333-2906,no,no,0,245.8,102,41.79,103,11.2,7,3.02,0,no
NJ,95,408,348-8015,yes,yes,37,220.2,109,37.43,82,4.1,2,1.11,0,yes
MO,142,415,417-2054,no,yes,30,154,75,26.18,83,10.8,5,2.92,1,no
VT,124,415,416-5623,no,no,0,178.4,72,30.33,91,12,2,3.24,0,no
LA,53,415,370-8023,no,no,0,145.1,116,24.67,95,7.9,5,2.13,2,no
NM,65,415,376-5908,no,no,0,148.7,80,25.28,107,12.7,6,3.43,2,no
IN,68,510,330-9354,no,no,0,249.9,127,42.48,98,8.9,6,2.4,2,yes
OR,149,415,332-9460,yes,no,0,176.2,87,29.95,92,5.7,4,1.54,0,no
AR,36,415,346-9317,no,no,0,157.6,117,26.79,99,11.9,1,3.21,0,no
TX,114,415,342-1099,no,no,0,84.7,118,14.4,95,14.5,8,3.92,1,no
MT,160,415,329-8436,no,no,0,97.5,113,16.58,62,13.2,4,3.56,3,no
MT,106,415,410-9633,no,no,0,187.1,104,31.81,81,11,3,2.97,1,no
FL,102,408,395-6913,no,yes,29,214.7,86,36.5,110,14.3,2,3.86,0,no
MA,79,415,419-2767,no,no,0,156.9,109,26.67,103,11.3,5,3.05,3,no
UT,83,510,386-6114,no,no,0,208.9,71,35.51,108,13,5,3.51,1,no
DE,51,510,406-2454,no,no,0,181.5,108,30.86,119,10.3,2,2.78,1,no
TX,82,408,400-3446,no,no,0,200.3,96,34.05,60,7.1,1,1.92,4,no
NM,93,510,383-4361,no,yes,21,117.9,131,20.04,86,9.8,3,2.65,1,no
NJ,24,408,393-7826,no,no,0,265.6,86,45.15,105,11.1,6,3,2,yes
AZ,73,415,328-1522,no,no,0,175.4,130,29.82,85,12.2,4,3.29,0,no
AR,122,415,420-4089,yes,no,0,146.3,117,24.87,97,11.5,5,3.11,1,no
AR,156,415,388-6223,no,no,0,178.8,94,30.4,77,7.5,3,2.03,1,no
WV,48,415,367-2056,no,yes,34,198,70,33.66,71,7.6,4,2.05,1,no
MA,71,510,419-5171,no,no,0,290.4,108,49.37,126,10.1,5,2.73,3,yes
NJ,42,408,342-8002,yes,no,0,180.7,127,30.72,114,12,6,3.24,2,no
ID,99,415,406-7261,no,no,0,145.6,106,24.75,83,10.9,5,2.94,1,no
VA,21,415,351-6366,no,no,0,223.2,142,37.94,111,12.4,2,3.35,1,no
OH,107,415,371-7191,no,yes,26,161.6,123,27.47,103,13.7,3,3.7,1,no
NC,133,408,344-3160,yes,yes,32,221.1,137,37.59,108,15.4,4,4.16,2,yes
MT,71,510,363-1366,no,yes,23,175.7,82,29.87,154,14.1,7,3.81,1,no
CT,134,408,377-3876,no,yes,32,80.3,94,13.65,117,16.6,3,4.48,0,no
NV,90,415,399-4246,no,no,0,203.4,146,34.58,105,7.3,4,1.97,1,no
IL,57,415,403-6237,no,yes,30,179.2,105,30.46,77,14.7,5,3.97,1,no
IL,179,408,415-5132,no,no,0,234.5,134,39.87,72,6.1,4,1.65,1,no
MA,42,408,364-6801,no,no,0,241.2,134,41,91,10.6,4,2.86,0,no
WA,82,510,362-5579,no,no,0,265.2,122,45.08,90,10.7,9,2.89,2,no
PA,119,408,342-4122,no,no,0,287.1,115,48.81,86,13.9,1,3.75,2,yes
NY,21,415,335-2274,no,no,0,244.7,81,41.6,87,6.6,1,1.78,1,no
WI,44,415,355-7705,yes,no,0,62.3,92,10.59,108,10.8,3,2.92,1,no
AR,103,415,337-9878,no,yes,31,185.4,105,31.52,110,14.5,4,3.92,2,no
ME,193,415,403-1742,no,yes,31,71.2,58,12.1,108,11.7,3,3.16,0,no
PA,92,415,409-2917,yes,no,0,255.8,125,43.49,101,11.7,3,3.16,0,no
ID,56,510,379-5933,no,no,0,150.9,79,25.65,115,11.7,5,3.16,3,no
DE,63,408,363-8755,no,no,0,117.1,118,19.91,84,11.1,4,3,3,no
MD,42,408,337-7163,no,no,0,196.5,89,33.41,105,4,7,1.08,0,no
MN,46,408,351-6574,no,no,0,156.4,105,26.59,96,11.8,3,3.19,1,no
HI,87,408,353-6218,no,yes,28,143.5,106,24.4,69,11.2,5,3.02,0,no
WY,122,415,357-7385,no,no,0,119.3,93,20.28,122,8.7,4,2.35,2,no
MN,166,408,333-5551,no,no,0,152.1,95,25.86,126,9.8,5,2.65,0,no
OK,101,408,405-1780,no,no,0,209.6,107,35.63,85,7.6,2,2.05,3,no
PA,140,408,336-7143,no,no,0,112.8,89,19.18,85,16.3,6,4.4,0,no
KY,74,510,368-7555,yes,no,0,125.8,103,21.39,143,14.1,4,3.81,1,yes
MI,157,415,381-4756,no,yes,28,192.6,107,32.74,139,6.8,5,1.84,3,no
UT,110,408,332-1690,no,no,0,192.6,102,32.74,74,9.4,4,2.54,1,no
WY,64,415,385-1985,no,no,0,206.2,76,35.05,96,13.6,2,3.67,1,no
ID,77,510,356-3403,no,no,0,189.5,112,32.22,91,9.2,7,2.48,0,no
UT,81,510,329-6144,no,no,0,154.5,84,26.27,82,13.7,3,3.7,1,no
ME,120,510,350-5883,no,no,0,198.8,56,33.8,81,9.9,3,2.67,2,no
MO,86,415,367-7906,no,no,0,125.5,139,21.34,110,8.9,8,2.4,1,no
SD,27,510,359-3423,no,no,0,226.3,95,38.47,119,8.2,3,2.21,2,yes
KS,94,510,375-8505,no,yes,28,233.2,88,39.64,71,16.1,4,4.35,0,no
TX,88,510,414-4803,no,no,0,138.3,116,23.51,110,9.6,4,2.59,3,no
LA,155,408,353-4880,no,yes,39,183.3,106,31.16,90,5.1,7,1.38,1,no
NM,55,510,338-9873,no,no,0,119.7,148,20.35,113,4.6,2,1.24,2,no
MO,174,510,342-5854,no,no,0,235.5,108,40.04,131,12.5,5,3.38,0,no
AL,96,415,410-5455,yes,no,0,200.6,117,34.1,95,11.2,5,3.02,2,no
MA,69,510,352-5000,no,no,0,195.1,91,33.17,90,11.4,5,3.08,0,no
AR,77,415,408-3610,no,yes,23,209.7,73,35.65,111,7.1,3,1.92,2,no
CO,140,415,344-5206,no,no,0,149.7,71,25.45,67,12.6,4,3.4,3,no
MS,70,510,376-9940,no,no,0,147.1,105,25.01,65,12.5,9,3.38,3,no
NM,183,415,397-7453,no,no,0,190,100,32.3,107,9.5,4,2.57,1,no
VT,80,415,342-7514,no,no,0,160.6,103,27.3,88,10.7,1,2.89,1,no
WI,51,408,350-7288,no,no,0,197.8,60,33.63,134,8.9,5,2.4,1,no
WI,62,415,383-6373,no,no,0,281,66,47.77,74,0,0,0,1,no
KS,87,510,343-3961,no,no,0,115.4,90,19.62,69,13.1,5,3.54,2,no
AK,76,415,404-1931,no,no,0,143.7,55,24.43,95,5.8,6,1.57,1,no
NC,63,415,347-7420,no,yes,29,142.3,107,24.19,91,6.6,8,1.78,1,no
MT,124,415,420-5652,no,yes,30,144.5,35,24.57,82,12,7,3.24,2,no
DE,122,510,332-5521,no,no,0,157.1,134,26.71,59,8.5,5,2.3,4,yes
WA,117,408,381-2498,no,no,0,191.1,93,32.49,118,12,4,3.24,2,no
MI,87,415,405-4303,no,no,0,198.3,80,33.71,96,16.6,4,4.48,2,no
